Time,DeviceAddress,GatewayNode,FrequencyHz,SF,BW,RSSI,SNR,Distance
1006.14,6c000766,201,868500000,9,125000,-127.578,-10.5469,3635.63
1032.26,6c00077f,202,868300000,9,125000,-129.148,-12.1172,4002.6
1087.25,6c00077b,200,868500000,11,125000,-133.402,-16.3715,5193.85
1097.79,6c00080c,201,868500000,9,125000,-127.312,-10.2813,3576.97
1106.5,6c0007ef,203,868500000,8,125000,-126.233,-9.2023,3348.26
1106.5,6c0007ef,201,868500000,8,125000,-126.58,-9.54938,3420.19
1137.51,6c0007bf,201,868300000,12,125000,-135.754,-18.7236,5998.52
1208.09,6c0007a1,202,868300000,7,125000,-117.031,-9.72909e-05,1905.81
1216.61,6c00080f,202,868100000,8,125000,-126.624,-9.59307,3429.35
1224.12,6c0007fa,203,868300000,12,125000,-135.292,-18.2612,5831.07
1253.5,6c0007c5,200,868300000,11,125000,-134.214,-17.1827,5458.37
1271.48,6c0007f9,200,868500000,7,125000,-110.473,6.55828,1275.42
1271.48,6c0007f9,203,868500000,7,125000,-121.421,-4.39002,2493.64
1274.93,6c0007e6,202,868500000,12,125000,-136.806,-19.7756,6397.7
1333.49,6c00075c,202,868300000,7,125000,-120.993,-3.96204,2429.13
1337.48,6c000782,200,868100000,12,125000,-135.654,-18.6231,5961.75
1342.38,6c0007ce,203,868300000,7,125000,-117.555,-0.524472,1968
1362.08,6c0007ba,202,868300000,9,125000,-128.362,-11.3307,3814.38
1417.86,6c00078e,200,868100000,7,125000,-93.5148,23.5161,451.492
1472.63,6c0007d4,203,868100000,7,125000,-121.706,-4.67506,2537.55
1489.28,6c000783,201,868500000,7,125000,-120.187,-3.15648,2312.2
1491.9,6c0007b2,202,868500000,11,125000,-133.826,-16.7948,5330.25
1520.84,6c0007ae,201,868100000,10,125000,-131.976,-14.9447,4759.3
1536.8,6c0007a2,203,868500000,7,125000,-111.356,5.67519,1346.3
1554.07,6c0007a6,201,868500000,10,125000,-130.543,-13.5119,4359.5
1560.3,6c0007b4,201,868100000,7,125000,-113.761,3.27038,1559.91
1567.73,6c000767,202,868500000,10,125000,-130.841,-13.81,4439.8
1570.47,6c0007cb,202,868100000,7,125000,-120.558,-3.52725,2365.3
1583.93,6c00076d,201,868100000,7,125000,-96.9262,20.1047,556.389
1589.35,6c0007f5,203,868300000,11,125000,-133.819,-16.7883,5328.14
1607.36,6c0007c7,202,868300000,7,125000,-123.122,-6.09126,2767.44
1646.06,6c00079b,202,868300000,9,125000,-128.844,-11.813,3928.75
1661.42,6c0007f4,201,868500000,8,125000,-126.546,-9.51491,3412.98
1728.99,6c000801,203,868300000,8,125000,-125.371,-8.34016,3176.07
1775.1,6c000765,202,868500000,7,125000,-115.314,1.71659,1715.63
1779.78,6c00074d,200,868300000,12,125000,-135.209,-18.1786,5801.63
1782.85,6c000771,202,868100000,9,125000,-128.59,-11.5593,3868.16
1786.9,6c000787,203,868300000,10,125000,-131.891,-14.8603,4734.74
1805.51,6c00077d,202,868100000,7,125000,-107.467,9.5638,1061.01
1813.28,6c0007d3,201,868100000,7,125000,-118.293,-1.26191,2058.92
1832.74,6c0007d5,202,868500000,8,125000,-125.639,-8.60835,3228.66
1839.06,6c000759,203,868300000,7,125000,-117.282,-0.251067,1935.33
1850.37,6c000791,200,868100000,7,125000,-116.386,0.645147,1831.97
1850.37,6c000791,203,868100000,7,125000,-123.122,-6.09146,2767.48
1852.72,6c0007b1,202,868300000,12,125000,-136.372,4.86883,6229.68
1852.72,6c0007b1,201,868300000,12,125000,-136.571,8.079,6306.19
1853.08,6c0007e3,202,868100000,11,125000,-133.928,-16.8973,5363.81
1853.08,6c0007e3,201,868100000,11,125000,-133.974,-16.9434,5378.99
1853.89,6c000806,202,868300000,12,125000,-136.731,4.15123,6368.08
1853.89,6c000806,201,868300000,12,125000,-140.14,0.941116,7846.68
1886.13,6c000774,200,868500000,11,125000,-133.601,-16.57,5257.38
1898.19,6c000754,203,868100000,7,125000,-112.307,4.72376,1427.07
1915.18,6c0007b9,203,868300000,7,125000,-106.729,10.3019,1014.12
1915.18,6c0007b9,200,868300000,7,125000,-123.393,-6.36179,2813.67
1921.59,6c000752,202,868300000,12,125000,-142.097,10.1884,8845.84
1921.85,6c0007af,202,868300000,11,125000,-133.613,8.05844,5261.21
1923.16,6c000793,203,868300000,12,125000,-135.662,22.8201,5964.57
1923.16,6c000793,201,868300000,12,125000,-136.155,19.9508,6147.63
1923.16,6c000793,200,868300000,12,125000,-139.167,20.321,7392.65
1932.84,6c0007eb,202,868500000,12,125000,-136.089,-19.0577,6122.53
1934.81,6c0007e9,203,868300000,7,125000,-109.774,7.25678,1222.02
1934.81,6c0007e9,200,868300000,7,125000,-120.439,-3.408,2348.09
1952.21,6c0007e0,203,868300000,11,125000,-133.507,-16.4761,5227.23
1961.44,6c0007b0,202,868300000,7,125000,-119.228,-2.19746,2180.32
2026.46,6c000808,201,868300000,7,125000,-115.299,1.7315,1714.06
2048.18,6c00079f,203,868300000,12,125000,-135.273,-18.2424,5824.34
2114.6,6c000789,202,868500000,10,125000,-131.967,-14.936,4756.75
2115.33,6c00074b,200,868100000,11,125000,-134.396,-17.3652,5519.72
2132.82,6c0007e5,203,868300000,8,125000,-125.521,-8.48973,3205.29
2135.1,6c0007cd,202,868500000,9,125000,-128.512,-11.4809,3849.63
2171.43,6c000776,203,868300000,7,125000,-120.714,-3.68316,2388
2182.1,6c00076b,201,868300000,11,125000,-133.959,-16.9278,5373.83
2182.1,6c00076b,202,868300000,11,125000,-134.415,-17.3838,5526.02
2187.72,6c0007ed,202,868100000,7,125000,-120.545,-3.51454,2363.46
2219.2,6c000769,200,868300000,7,125000,-117.294,-0.262679,1936.7
2223.99,6c0007e4,203,868300000,9,125000,-129.454,-12.4231,4078.3
2241.69,6c0007b8,202,868100000,12,125000,-137.625,19.5291,6726.61
2273.19,6c000797,202,868500000,12,125000,-135.685,-18.6538,5972.95
2297.92,6c0007fb,201,868100000,12,125000,-135.023,-17.9918,5735.64
2310.18,6c000785,201,868300000,10,125000,-131.239,-14.2077,4549.26
2323.91,6c0007dd,203,868300000,7,125000,-123.865,-6.83384,2896.2
2352.79,6c0007f3,202,868500000,9,125000,-127.234,-10.2031,3559.88
2362.83,6c0007c4,200,868300000,7,125000,-123.009,-5.97858,2748.41
2363.37,6c0007f0,201,868300000,10,125000,-130.019,-12.9885,4221.97
2372.69,6c00074c,203,868300000,10,125000,-130.555,-13.5241,4362.74
2373.66,6c00078a,200,868100000,9,125000,-128.926,-11.895,3948.52
2399.42,6c00076e,200,868500000,7,125000,-98.3095,18.7214,605.575
2476.6,6c000755,200,868100000,11,125000,-133.47,-16.4395,5215.52
2484.39,6c0007a0,201,868100000,7,125000,-117.821,-0.789923,2000.26
2491.32,6c000777,202,868300000,12,125000,-136.903,-19.872,6435.57
2506.91,6c00076c,203,868100000,7,125000,-120.581,-3.55055,2368.68
2519.48,6c0007db,203,868500000,7,125000,-122.549,-5.51834,2672.03
2545.86,6c00078d,203,868500000,11,125000,-133.362,-16.3309,5180.94
2545.86,6c00078d,200,868500000,11,125000,-133.551,-16.5199,5241.25
2552.62,6c00075d,201,868100000,9,125000,-127.949,-10.9183,3719.26
2558.92,6c000764,201,868300000,9,125000,-127.099,-10.0682,3530.6
2587.63,6c0007c6,202,868100000,12,125000,-135.568,-18.5368,5930.3
2607.32,6c00075f,201,868500000,7,125000,-101.43,15.6012,733.081
2616.12,6c000770,201,868100000,8,125000,-124.44,-7.40915,3000.05
2617.82,6c000756,200,868100000,11,125000,-134.301,-17.2698,5487.57
2652.14,6c0007cc,201,868100000,7,125000,-117.05,-0.018933,1908.01
2661.55,6c000750,203,868500000,9,125000,-127.096,-10.0651,3529.93
2693.02,6c00074a,201,868100000,8,125000,-126.04,-9.00956,3308.97
2702.95,6c000748,203,868100000,7,125000,-121.324,-4.29337,2478.92
2712.01,6c000758,200,868100000,7,125000,-83.7435,33.2874,248.184
2719.21,6c000802,201,868100000,7,125000,-122.369,16.7393,2642.64
2720.89,6c00079a,203,868100000,12,125000,-135.014,28.0294,5732.62
2720.89,6c00079a,201,868100000,12,125000,-139.108,20.2769,7366
2720.89,6c00079a,200,868100000,12,125000,-141.324,23.2456,8436.7
2722.62,6c0007a8,202,868100000,12,125000,-138.112,26.9439,6930.3
2728.21,6c000800,203,868300000,7,125000,-117.713,-0.68224,1987.11
2736.03,6c000788,202,868300000,10,125000,-131.495,-14.464,4621.25
2744.23,6c000757,203,868300000,10,125000,-131.91,-14.8788,4740.12
2749.93,6c0007d9,202,868100000,10,125000,-130.294,-13.2636,4293.7
2761.91,6c0007bc,203,868300000,7,125000,-114.688,2.34295,1651.07
2770.15,6c0007b6,203,868300000,7,125000,-123.634,-6.60336,2855.61
2787.11,6c00076a,202,868100000,8,125000,-124.917,-7.88565,3088.89
2808.06,6c0007d0,200,868100000,9,125000,-128.772,-11.7416,3911.59
2835.3,6c0007c8,202,868300000,7,125000,-100.328,16.7027,685.263
2847.33,6c0007bb,201,868300000,10,125000,-130.479,-13.4476,4342.37
2856.05,6c0007f1,203,868100000,9,125000,-128.572,-11.5415,3863.95
2874.11,6c000792,203,868500000,10,125000,-131.818,-14.7871,4713.57
2877.01,6c000804,202,868500000,7,125000,-120.066,-3.03503,2295.07
2885.02,6c000798,200,868300000,7,125000,-122.674,-5.6426,2692.44
2908.76,6c00074e,200,868300000,12,125000,-135.509,-18.4776,5908.86
2908.76,6c00074e,203,868300000,12,125000,-136.792,-19.7616,6392.2
2933.99,6c0007df,200,868100000,10,125000,-130.684,-13.6531,4397.36
2939.85,6c0007bd,202,868100000,9,125000,-128.504,-11.4727,3847.72
2948.32,6c00077e,203,868300000,7,125000,-123.145,-6.11422,2771.34
2994.89,6c0007ff,201,868300000,12,125000,-136.228,-19.1974,6175.13
3012.74,6c00076f,201,868500000,9,125000,-127.244,-10.2134,3562.14
3013.95,6c0007c1,200,868300000,7,125000,-112.561,4.46942,1449.47
3013.95,6c0007c1,203,868300000,7,125000,-119.904,-2.87357,2272.49
3022.68,6c0007ac,202,868500000,7,125000,-116.417,0.61352,1835.52
3044.1,6c0007a9,200,868500000,8,125000,-126.565,-9.53429,3417.03
3069.03,6c0007ea,201,868100000,9,125000,-128.452,-11.4211,3835.57
3128.7,6c000799,200,868300000,10,125000,-131.206,-14.1751,4540.2
3132.95,6c0007f6,201,868300000,11,125000,-134.489,-17.4577,5551.08
3158.91,6c0007c3,201,868300000,8,125000,-125.037,-8.00621,3111.78
3171.88,6c00080b,200,868300000,9,125000,-127.231,-10.1999,3559.18
3171.93,6c0007d8,201,868100000,7,125000,-123.967,-6.93593,2914.36
3185.76,6c0007e7,203,868100000,7,125000,-117.044,-0.0134695,1907.37
3185.76,6c0007e7,200,868100000,7,125000,-119.334,-2.30343,2194.51
3199.86,6c0007fd,201,868100000,7,125000,-118.27,-1.23871,2055.99
3208.49,6c000780,201,868300000,7,125000,-120.074,-3.04277,2296.16
3218.76,6c000803,203,868100000,7,125000,-121.984,-4.95358,2581.2
3225.57,6c0007c0,202,868100000,7,125000,-104.162,12.8687,866.61
3225.69,6c000809,203,868100000,9,125000,-129.309,-12.278,4042.22
3226.31,6c0007dc,200,868100000,8,125000,-126.157,-9.12615,3332.68
3264.95,6c000796,200,868300000,10,125000,-131.359,-14.3277,4582.83
3272.68,6c0007b7,201,868100000,8,125000,-125.683,-8.65203,3237.31
3285.53,6c000790,202,868300000,7,125000,-118.753,-1.72222,2117.78
3289.45,6c0007b3,201,868500000,9,125000,-127.655,-10.624,3652.84
3306.37,6c00078b,203,868300000,11,125000,-133.119,-16.0883,5104.54
3324.92,6c00079e,202,868300000,10,125000,-131.168,-14.137,4529.62
3327.44,6c0007aa,200,868500000,9,125000,-127.708,-10.6773,3664.78
3339.33,6c0007f8,201,868500000,7,125000,-118.815,-1.78434,2125.85
3347.39,6c000805,201,868100000,10,125000,-131.479,-14.4479,4616.67
3356.8,6c000779,200,868300000,7,125000,-119.602,-2.57154,2230.84
3397.6,6c0007d6,200,868500000,8,125000,-125.684,-8.65331,3237.56
3406.14,6c000766,201,868100000,9,125000,-127.578,-10.5469,3635.63
3432.26,6c00077f,202,868300000,9,125000,-129.148,-12.1172,4002.6
3487.25,6c00077b,200,868100000,11,125000,-133.402,-16.3715,5193.85
3497.79,6c00080c,201,868100000,9,125000,-127.312,-10.2813,3576.97
3506.5,6c0007ef,203,868500000,8,125000,-126.233,-9.2023,3348.26
3506.5,6c0007ef,201,868500000,8,125000,-126.58,-9.54938,3420.19
3537.51,6c0007bf,201,868500000,12,125000,-135.754,-18.7236,5998.52
3608.09,6c0007a1,202,868500000,7,125000,-117.031,-9.72909e-05,1905.81
3616.61,6c00080f,202,868300000,8,125000,-126.624,-9.59307,3429.35
3624.12,6c0007fa,203,868100000,12,125000,-135.292,-18.2612,5831.07
3653.5,6c0007c5,200,868300000,11,125000,-134.214,-17.1827,5458.37
3671.48,6c0007f9,200,868300000,7,125000,-110.473,6.55828,1275.42
3671.48,6c0007f9,203,868300000,7,125000,-121.421,-4.39002,2493.64
3674.93,6c0007e6,202,868100000,12,125000,-136.806,-19.7756,6397.7
3733.49,6c00075c,202,868500000,7,125000,-120.993,-3.96204,2429.13
3737.48,6c000782,200,868300000,12,125000,-135.654,-18.6231,5961.75
3742.38,6c0007ce,203,868300000,7,125000,-117.555,-0.524472,1968
3762.08,6c0007ba,202,868500000,9,125000,-128.362,-11.3307,3814.38
3817.86,6c00078e,200,868100000,7,125000,-93.5148,23.5161,451.492
3872.63,6c0007d4,203,868100000,7,125000,-121.706,-4.67506,2537.55
3889.28,6c000783,201,868300000,7,125000,-120.187,-3.15648,2312.2
3891.9,6c0007b2,202,868500000,11,125000,-133.826,-16.7948,5330.25
3920.84,6c0007ae,201,868300000,10,125000,-131.976,-14.9447,4759.3
3936.8,6c0007a2,203,868500000,7,125000,-111.356,5.67519,1346.3
3954.07,6c0007a6,201,868500000,10,125000,-130.543,-13.5119,4359.5
3960.3,6c0007b4,201,868300000,7,125000,-113.761,3.27038,1559.91
3967.73,6c000767,202,868100000,10,125000,-130.841,-13.81,4439.8
3970.47,6c0007cb,202,868100000,7,125000,-120.558,-3.52725,2365.3
3983.93,6c00076d,201,868500000,7,125000,-96.9262,20.1047,556.389
3989.35,6c0007f5,203,868100000,11,125000,-133.819,-16.7883,5328.14
4007.36,6c0007c7,202,868500000,7,125000,-123.122,-6.09126,2767.44
4046.06,6c00079b,202,868300000,9,125000,-128.844,-11.813,3928.75
4061.42,6c0007f4,201,868100000,8,125000,-126.546,-9.51491,3412.98
4128.99,6c000801,203,868500000,8,125000,-125.371,-8.34016,3176.07
4175.1,6c000765,202,868300000,7,125000,-115.314,1.71659,1715.63
4179.78,6c00074d,200,868500000,12,125000,-135.209,-18.1786,5801.63
4182.85,6c000771,202,868300000,9,125000,-128.59,-11.5593,3868.16
4186.9,6c000787,203,868100000,10,125000,-131.891,-14.8603,4734.74
4205.51,6c00077d,202,868100000,7,125000,-107.467,9.5638,1061.01
4213.28,6c0007d3,201,868300000,7,125000,-118.293,-1.26191,2058.92
4232.74,6c0007d5,202,868300000,8,125000,-125.639,-8.60835,3228.66
4239.06,6c000759,203,868100000,7,125000,-117.282,-0.251067,1935.33
4250.37,6c000791,200,868300000,7,125000,-116.386,0.645147,1831.97
4250.37,6c000791,203,868300000,7,125000,-123.122,-6.09146,2767.48
4252.72,6c0007b1,202,868500000,12,125000,-136.372,4.86883,6229.68
4252.72,6c0007b1,201,868500000,12,125000,-136.571,8.079,6306.19
4253.08,6c0007e3,202,868300000,11,125000,-133.928,-16.8973,5363.81
4253.08,6c0007e3,201,868300000,11,125000,-133.974,-16.9434,5378.99
4253.89,6c000806,202,868500000,12,125000,-136.731,4.15123,6368.08
4253.89,6c000806,201,868500000,12,125000,-140.14,0.941116,7846.68
4286.13,6c000774,200,868300000,11,125000,-133.601,-16.57,5257.38
4298.19,6c000754,203,868500000,7,125000,-112.307,4.72376,1427.07
4315.18,6c0007b9,203,868500000,7,125000,-106.729,10.3019,1014.12
4315.18,6c0007b9,200,868500000,7,125000,-123.393,-6.36179,2813.67
4321.59,6c000752,202,868100000,12,125000,-142.097,10.1884,8845.84
4321.85,6c0007af,202,868100000,11,125000,-133.613,8.05844,5261.21
4323.16,6c000793,203,868100000,12,125000,-135.662,22.8201,5964.57
4323.16,6c000793,201,868100000,12,125000,-136.155,19.9508,6147.63
4323.16,6c000793,200,868100000,12,125000,-139.167,20.321,7392.65
4332.84,6c0007eb,202,868300000,12,125000,-136.089,-19.0577,6122.53
4334.81,6c0007e9,203,868500000,7,125000,-109.774,7.25678,1222.02
4334.81,6c0007e9,200,868500000,7,125000,-120.439,-3.408,2348.09
4352.21,6c0007e0,203,868500000,11,125000,-133.507,-16.4761,5227.23
4361.44,6c0007b0,202,868100000,7,125000,-119.228,-2.19746,2180.32
4426.46,6c000808,201,868500000,7,125000,-115.299,1.7315,1714.06
4448.18,6c00079f,203,868500000,12,125000,-135.273,-18.2424,5824.34
4514.6,6c000789,202,868100000,10,125000,-131.967,-14.936,4756.75
4515.33,6c00074b,200,868500000,11,125000,-134.396,-17.3652,5519.72
4532.82,6c0007e5,203,868300000,8,125000,-125.521,-8.48973,3205.29
4535.1,6c0007cd,202,868100000,9,125000,-128.512,-11.4809,3849.63
4571.43,6c000776,203,868500000,7,125000,-120.714,-3.68316,2388
4582.1,6c00076b,201,868300000,11,125000,-133.959,-16.9278,5373.83
4582.1,6c00076b,202,868300000,11,125000,-134.415,-17.3838,5526.02
4587.72,6c0007ed,202,868300000,7,125000,-120.545,-3.51454,2363.46
4619.2,6c000769,200,868500000,7,125000,-117.294,-0.262679,1936.7
4623.99,6c0007e4,203,868100000,9,125000,-129.454,-12.4231,4078.3
4641.69,6c0007b8,202,868300000,12,125000,-137.625,19.5291,6726.61
4673.19,6c000797,202,868500000,12,125000,-135.685,-18.6538,5972.95
4697.92,6c0007fb,201,868300000,12,125000,-135.023,-17.9918,5735.64
4710.18,6c000785,201,868100000,10,125000,-131.239,-14.2077,4549.26
4723.91,6c0007dd,203,868300000,7,125000,-123.865,-6.83384,2896.2
4752.79,6c0007f3,202,868300000,9,125000,-127.234,-10.2031,3559.88
4762.83,6c0007c4,200,868300000,7,125000,-123.009,-5.97858,2748.41
4763.37,6c0007f0,201,868300000,10,125000,-130.019,-12.9885,4221.97
4772.69,6c00074c,203,868300000,10,125000,-130.555,-13.5241,4362.74
4773.66,6c00078a,200,868300000,9,125000,-128.926,-11.895,3948.52
4799.42,6c00076e,200,868500000,7,125000,-98.3095,18.7214,605.575
4876.6,6c000755,200,868300000,11,125000,-133.47,-16.4395,5215.52
4884.39,6c0007a0,201,868300000,7,125000,-117.821,-0.789923,2000.26
4891.32,6c000777,202,868100000,12,125000,-136.903,-19.872,6435.57
4906.91,6c00076c,203,868500000,7,125000,-120.581,-3.55055,2368.68
4919.48,6c0007db,203,868500000,7,125000,-122.549,-5.51834,2672.03
4945.86,6c00078d,203,868100000,11,125000,-133.362,-16.3309,5180.94
4945.86,6c00078d,200,868100000,11,125000,-133.551,-16.5199,5241.25
4952.62,6c00075d,201,868500000,9,125000,-127.949,-10.9183,3719.26
4958.92,6c000764,201,868100000,9,125000,-127.099,-10.0682,3530.6
4987.63,6c0007c6,202,868500000,12,125000,-135.568,-18.5368,5930.3
5007.32,6c00075f,201,868300000,7,125000,-101.43,15.6012,733.081
5016.12,6c000770,201,868300000,8,125000,-124.44,-7.40915,3000.05
5017.82,6c000756,200,868100000,11,125000,-134.301,-17.2698,5487.57
5052.14,6c0007cc,201,868100000,7,125000,-117.05,-0.018933,1908.01
5061.55,6c000750,203,868300000,9,125000,-127.096,-10.0651,3529.93
5093.02,6c00074a,201,868300000,8,125000,-126.04,-9.00956,3308.97
5102.95,6c000748,203,868300000,7,125000,-121.324,22.0645,2478.92
5112.01,6c000758,200,868500000,7,125000,-83.7435,33.2874,248.184
5119.21,6c000802,201,868100000,7,125000,-122.369,16.7393,2642.64
5120.89,6c00079a,203,868100000,12,125000,-135.014,-17.9832,5732.62
5128.21,6c000800,203,868500000,7,125000,-117.713,-0.68224,1987.11
5136.03,6c000788,202,868100000,10,125000,-131.495,-14.464,4621.25
5144.23,6c000757,203,868300000,10,125000,-131.91,-14.8788,4740.12
5149.93,6c0007d9,202,868300000,10,125000,-130.294,-13.2636,4293.7
5161.91,6c0007bc,203,868100000,7,125000,-114.688,2.34295,1651.07
5170.15,6c0007b6,203,868300000,7,125000,-123.634,-6.60336,2855.61
5187.11,6c00076a,202,868500000,8,125000,-124.917,-7.88565,3088.89
5208.06,6c0007d0,200,868300000,9,125000,-128.772,-11.7416,3911.59
5235.3,6c0007c8,202,868300000,7,125000,-100.328,16.7027,685.263
5247.33,6c0007bb,201,868500000,10,125000,-130.479,-13.4476,4342.37
5256.05,6c0007f1,203,868100000,9,125000,-128.572,-11.5415,3863.95
5274.11,6c000792,203,868300000,10,125000,-131.818,-14.7871,4713.57
5277.01,6c000804,202,868100000,7,125000,-120.066,-3.03503,2295.07
5285.02,6c000798,200,868300000,7,125000,-122.674,-5.6426,2692.44
5308.76,6c00074e,200,868500000,12,125000,-135.509,-18.4776,5908.86
5308.76,6c00074e,203,868500000,12,125000,-136.792,-19.7616,6392.2
5333.99,6c0007df,200,868300000,10,125000,-130.684,-13.6531,4397.36
5339.85,6c0007bd,202,868500000,9,125000,-128.504,-11.4727,3847.72
5348.32,6c00077e,203,868300000,7,125000,-123.145,-6.11422,2771.34
5394.89,6c0007ff,201,868300000,12,125000,-136.228,-19.1974,6175.13
5412.74,6c00076f,201,868100000,9,125000,-127.244,-10.2134,3562.14
5413.95,6c0007c1,200,868500000,7,125000,-112.561,4.46942,1449.47
5413.95,6c0007c1,203,868500000,7,125000,-119.904,-2.87357,2272.49
5422.68,6c0007ac,202,868100000,7,125000,-116.417,0.61352,1835.52
5444.1,6c0007a9,200,868300000,8,125000,-126.565,-9.53429,3417.03
5469.03,6c0007ea,201,868500000,9,125000,-128.452,-11.4211,3835.57
5528.7,6c000799,200,868100000,10,125000,-131.206,-14.1751,4540.2
5532.95,6c0007f6,201,868300000,11,125000,-134.489,-17.4577,5551.08
5558.91,6c0007c3,201,868500000,8,125000,-125.037,-8.00621,3111.78
